Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
427248,427248,427248,17500078080,43125,14130885000,1766360625
427248,427248,427248,17500078080,42900.391,14057273500,1757159187.5
423120,423120,423120,17330995200,39371.094,12901095000,1612636875
425184,425184,425184,17415536640,43101.5625,14123120000,1765390000
427248,427248,427248,17500078080,43133.789,14134155000,1766769375
429312,429312,429312,17584619520,43110.352,14126513000,1765814125
427248,427248,427248,17500078080,41695.3125,13662311000,1707788875
427248,427248,427248,17500078080,43065.43,14111179500,1763897437.5
425184,425184,425184,17415536640,43140.625,14136112000,1767014000
423120,423120,423120,17330995200,42125,13803391500,1725423937.5
429312,429312,429312,17584619520,36258.789,11880945000,1485118125
421056,421056,421056,17246453760,42958.008,14076293000,1759536625
425184,425184,425184,17415536640,42477.539,13919107000,1739888375
427248,427248,427248,17500078080,43069.336,14112556000,1764069500
429312,429312,429312,17584619520,43000.977,14090283000,1761285375
425184,425184,425184,17415536640,43041.016,14103296500,1762912062.5
427248,427248,427248,17500078080,42996.094,14088504500,1761063062.5
427248,427248,427248,17500078080,42010.742,13765619500,1720702437.5
427248,427248,427248,17500078080,42264.648,13849309000,1731163625
427248,427248,427248,17500078080,43145.508,14138085000,1767260625
427248,427248,427248,17500078080,43159.18,14142081000,1767760125
427248,427248,427248,17500078080,43187.5,14151769000,1768971125
425184,425184,425184,17415536640,42098.633,13794709500,1724338687.5
423120,423120,423120,17330995200,42024.414,13770395000,1721299375
427248,427248,427248,17500078080,42030.273,13772233000,1721529125
425184,425184,425184,17415536640,42879.883,14050491000,1756311375
423120,423120,423120,17330995200,41395.508,13564271500,1695533937.5
425184,425184,425184,17415536640,41388.672,13561892000,1695236500
427248,427248,427248,17500078080,41414.0625,13570335500,1696291937.5
425184,425184,425184,17415536640,41961.914,13750178000,1718772250
427248,427248,427248,17500078080,42194.336,13826473500,1728309187.5
429312,429312,429312,17584619520,43013.672,14094703000,1761837875
