Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
90580704,90580704,90580704,3710185635840,9178568.359,3007638608000,375954826000
91548720,91548720,91548720,3749835571200,9148467.773,2997773169000,374721646125
91059552,91059552,91059552,3729799249920,9134225.586,2993085406000,374135675750
91047168,91047168,91047168,3729292001280,9142776.367,2995907564500,374488445562.5
91740672,91740672,91740672,3757697925120,9283140.625,3041901986000,380237748250
91538400,91538400,91538400,3749412864000,9120041.992,2988459485500,373557435687.5
91734480,91734480,91734480,3757444300800,9256588.867,3033203327500,379150415937.5
91057488,91057488,91057488,3729714708480,9133125,2992747075000,374093384375
91307232,91307232,91307232,3739944222720,9193270.508,3012455824500,376556978062.5
91398048,91398048,91398048,3743664046080,9138770.508,2994594052000,374324256500
91451712,91451712,91451712,3745862123520,9130723.633,2991939375500,373992421937.5
90659136,90659136,90659136,3713398210560,9174389.648,3006265982000,375783247750
91018272,91018272,91018272,3728108421120,9128622.07,2991269838000,373908729750
91534272,91534272,91534272,3749243781120,9174297.852,3006238434500,375779804312.5
90184416,90184416,90184416,3693953679360,9013847.656,2953642152000,369205269000
89554896,89554896,89554896,3668168540160,9066009.766,2970755154000,371344394250
91517760,91517760,91517760,3748567449600,9160949.219,3001862293500,375232786687.5
91288656,91288656,91288656,3739183349760,9121916.992,2989076331000,373634541375
91600320,91600320,91600320,3751949107200,9140527.344,2995169873000,374396234125
91777824,91777824,91777824,3759219671040,9155759.766,3000166244000,375020780500
90401136,90401136,90401136,3702830530560,9064616.211,2970298684000,371287335500
88182336,88182336,88182336,3611948482560,8829653.32,2893303254000,361662906750
91579680,91579680,91579680,3751103692800,9155042.969,2999905205000,374988150625
89926416,89926416,89926416,3683385999360,8970424.805,2939410973000,367426371625
91346448,91346448,91346448,3741550510080,9118781.25,2988025180500,373503147562.5
91594128,91594128,91594128,3751695482880,9140139.648,2995043324000,374380415500
91546656,91546656,91546656,3749751029760,9113879.883,2986438824500,373304853062.5
91490928,91490928,91490928,3747468410880,9132348.633,2992491434500,374061429312.5
89951184,89951184,89951184,3684400496640,9025150.391,2957345718500,369668214812.5
91618896,91618896,91618896,3752709980160,9195823.242,3013289417500,376661177187.5
91571424,91571424,91571424,3750765527040,9148957.031,2997933199500,374741649937.5
91468224,91468224,91468224,3746538455040,9139314.453,2994775306000,374346913250
91286592,91286592,91286592,3739098808320,9175964.844,3006784336000,375848042000
91429008,91429008,91429008,3744932167680,9142761.719,2995901052000,374487631500
91656048,91656048,91656048,3754231726080,9177505.859,3007286856500,375910857062.5
90698352,90698352,90698352,3715004497920,9011704.102,2952958056000,369119757000
91511568,91511568,91511568,3748313825280,9191366.211,3011808157500,376476019687.5
91466160,91466160,91466160,3746453913600,9094768.555,2980177587000,372522198375
91940880,91940880,91940880,3765898444800,9155232.422,2999991279500,374998909937.5
91519824,91519824,91519824,3748651991040,9082820.3125,2976260770000,372032596250
91338192,91338192,91338192,3741212344320,9113042.969,2986167054500,373270881812.5
91563168,91563168,91563168,3750427361280,9124624.023,2989959662500,373744957812.5
91604448,91604448,91604448,3752118190080,9083463.867,2976473789500,372059223687.5
91468224,91468224,91468224,3746538455040,9057042.969,2967815252000,370976906500
91001760,91001760,91001760,3727432089600,9050083.008,2965534268500,370691783562.5
91346448,91346448,91346448,3741550510080,8862111.328,2903919401000,362989925125
90037872,90037872,90037872,3687951237120,8984346.68,2943993340000,367999167500
91874832,91874832,91874832,3763193118720,9136227.539,2993742295000,374217786875
91699392,91699392,91699392,3756007096320,9164091.797,3002892244000,375361530500
91092576,91092576,91092576,3731151912960,9132362.305,2992495517500,374061939687.5
91284528,91284528,91284528,3739014266880,9105447.266,2983676335500,372959541937.5
91154496,91154496,91154496,3733688156160,9119580.078,2988308129000,373538516125
90427968,90427968,90427968,3703929569280,9198074.219,3014029989000,376753748625
89701440,89701440,89701440,3674170982400,9001917.969,2949753069500,368719133687.5
90297936,90297936,90297936,3698603458560,9165141.602,3003236533500,375404566687.5
92634384,92634384,92634384,3794304368640,9273545.898,3038757901000,379844737625
91610640,91610640,91610640,3752371814400,9189793.945,3011317360500,376414670062.5
91410432,91410432,91410432,3744171294720,9119034.18,2988131782000,373516472750
89885136,89885136,89885136,3681695170560,9004132.8125,2950455760500,368806970062.5
87744768,87744768,87744768,3594025697280,8836117.1875,2895422859000,361927857375
91546656,91546656,91546656,3749751029760,9119726.5625,2988357623000,373544702875
91602384,91602384,91602384,3752033648640,9047366.211,2964624383000,370578047875
91567296,91567296,91567296,3750596444160,9134006.836,2993014591500,374126823937.5
90502272,90502272,90502272,3706973061120,9098434.57,2981361664000,372670208000
91798464,91798464,91798464,3760065085440,9154951.172,2999899020000,374987377500
88458912,88458912,88458912,3623277035520,8941211.914,2929861988500,366232748562.5
91214352,91214352,91214352,3736139857920,9138501.953,2994510145500,374313768187.5
91160688,91160688,91160688,3733941780480,9164965.82,3003177786000,375397223250
91573488,91573488,91573488,3750850068480,9196217.773,3013420128000,376677516000
90917136,90917136,90917136,3723965890560,9076716.797,2974261257000,371782657125
91532208,91532208,91532208,3749159239680,9200141.602,3014706951500,376838368937.5
91703520,91703520,91703520,3756176179200,9241553.711,3028275964500,378534495562.5
91699392,91699392,91699392,3756007096320,9162254.883,3002293969500,375286746187.5
91482672,91482672,91482672,3747130245120,9149808.594,2998213176500,374776647062.5
91643664,91643664,91643664,3753724477440,9158224.609,3000969677000,375121209625
91472352,91472352,91472352,3746707537920,8838853.516,2896320955000,362040119375
90314448,90314448,90314448,3699279790080,9244769.531,3029327561500,378665945187.5
89959440,89959440,89959440,3684738662400,8986340.82,2944646667500,368080833437.5
89775744,89775744,89775744,3677214474240,9056967.773,2967789963500,370973745437.5
89119392,89119392,89119392,3650330296320,9155665.039,3000131717000,375016464625
91515696,91515696,91515696,3748482908160,9162035.156,3002220442000,375277555250
90842832,90842832,90842832,3720922398720,9187092.773,3010429127000,376303640875
91459968,91459968,91459968,3746200289280,9191051.758,3011727933500,376465991687.5
90716928,90716928,90716928,3715765370880,9150766.602,2998527160000,374815895000
90072960,90072960,90072960,3689388441600,9171073.242,3005160473500,375645059187.5
87936720,87936720,87936720,3601888051200,8824003.906,2891452034500,361431504312.5
91104960,91104960,91104960,3731659161600,9153919.922,2999561426000,374945178250
91620960,91620960,91620960,3752794521600,9155906.25,3000209743500,375026217937.5
90409392,90409392,90409392,3703168696320,9141081.055,2995332683000,374416585375
91536336,91536336,91536336,3749328322560,9151062.5,2998625891500,374828236437.5
91575552,91575552,91575552,3750934609920,9213209.961,3018969892000,377371236500
89150352,89150352,89150352,3651598417920,8575455.078,2810009292500,351251161562.5
91662240,91662240,91662240,3754485350400,9153860.352,2999522090500,374940261312.5
89903712,89903712,89903712,3682456043520,9135184.57,2993420555500,374177569437.5
89059536,89059536,89059536,3647878594560,9157481.445,3000726154000,375090769250
83608512,83608512,83608512,3424604651520,8318698.242,2725873977000,340734247125
86927424,86927424,86927424,3560547287040,9147995.117,2997617371000,374702171375
88048176,88048176,88048176,3606453288960,8832172.852,2894111872000,361763984000
83494992,83494992,83494992,3419954872320,8570204.102,2808289847500,351036230937.5
86454768,86454768,86454768,3541187297280,8606980.469,2820339889000,352542486125
