Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
55728,55728,55728,2282618880,5352.539,1753609000,219201125
55728,55728,55728,2282618880,5395.508,1767801000,220975125
53664,53664,53664,2198077440,5396.484,1768348000,221043500
55728,55728,55728,2282618880,5407.227,1771778500,221472312.5
55728,55728,55728,2282618880,5391.602,1766806500,220850812.5
55728,55728,55728,2282618880,5390.625,1766243500,220780437.5
55728,55728,55728,2282618880,5400.391,1769369000,221171125
55728,55728,55728,2282618880,5342.773,1750336000,218792000
55728,55728,55728,2282618880,5454.102,1787442000,223430250
55728,55728,55728,2282618880,5402.344,1770100500,221262562.5
55728,55728,55728,2282618880,5375,1761127000,220140875
55728,55728,55728,2282618880,5413.086,1773447000,221680875
55728,55728,55728,2282618880,5419.922,1775603000,221950375
55728,55728,55728,2282618880,5387.695,1765095500,220636937.5
55728,55728,55728,2282618880,5388.672,1765405000,220675625
55728,55728,55728,2282618880,5402.344,1770060500,221257562.5
55728,55728,55728,2282618880,5416.992,1774947500,221868437.5
55728,55728,55728,2282618880,5399.414,1769572500,221196562.5
55728,55728,55728,2282618880,5446.289,1784540000,223067500
55728,55728,55728,2282618880,5387.695,1765101000,220637625
55728,55728,55728,2282618880,5408.203,1771909000,221488625
55728,55728,55728,2282618880,5453.125,1786805000,223350625
55728,55728,55728,2282618880,5433.594,1780035000,222504375
55728,55728,55728,2282618880,5403.32,1770193000,221274125
55728,55728,55728,2282618880,5375.977,1761360500,220170062.5
53664,53664,53664,2198077440,5383.789,1764122500,220515312.5
53664,53664,53664,2198077440,5416.992,1774723500,221840437.5
55728,55728,55728,2282618880,5272.461,1727345000,215918125
55728,55728,55728,2282618880,5391.602,1766706500,220838312.5
55728,55728,55728,2282618880,5395.508,1767641000,220955125
55728,55728,55728,2282618880,5413.086,1773801000,221725125
55728,55728,55728,2282618880,5398.4375,1768565000,221070625
55728,55728,55728,2282618880,5437.5,1781749500,222718687.5
55728,55728,55728,2282618880,5273.4375,1727680500,215960062.5
55728,55728,55728,2282618880,5412.109,1773415500,221676937.5
55728,55728,55728,2282618880,5391.602,1765910500,220738812.5
53664,53664,53664,2198077440,5395.508,1767639000,220954875
55728,55728,55728,2282618880,5425.781,1777781500,222222687.5
53664,53664,53664,2198077440,5374.023,1760778500,220097312.5
55728,55728,55728,2282618880,5398.4375,1768861500,221107687.5
55728,55728,55728,2282618880,5447.266,1784968000,223121000
53664,53664,53664,2198077440,5423.828,1777107000,222138375
55728,55728,55728,2282618880,5417.969,1775012500,221876562.5
53664,53664,53664,2198077440,5426.758,1778044500,222255562.5
53664,53664,53664,2198077440,5419.922,1775897500,221987187.5
53664,53664,53664,2198077440,5385.742,1764452500,220556562.5
55728,55728,55728,2282618880,5416.016,1774626500,221828312.5
53664,53664,53664,2198077440,5419.922,1775692000,221961500
55728,55728,55728,2282618880,5400.391,1769677500,221209687.5
55728,55728,55728,2282618880,5426.758,1777956000,222244500
53664,53664,53664,2198077440,5408.203,1771867500,221483437.5
53664,53664,53664,2198077440,5390.625,1766184500,220773062.5
55728,55728,55728,2282618880,5418.945,1775429500,221928687.5
55728,55728,55728,2282618880,5403.32,1770436000,221304500
55728,55728,55728,2282618880,5441.406,1783135500,222891937.5
55728,55728,55728,2282618880,5410.156,1772941000,221617625
53664,53664,53664,2198077440,5440.43,1782390000,222798750
55728,55728,55728,2282618880,5387.695,1765428500,220678562.5
53664,53664,53664,2198077440,5402.344,1769993500,221249187.5
53664,53664,53664,2198077440,5445.3125,1784085500,223010687.5
55728,55728,55728,2282618880,5386.719,1764910000,220613750
55728,55728,55728,2282618880,5157.227,1689448500,211181062.5
55728,55728,55728,2282618880,5410.156,1772621000,221577625
55728,55728,55728,2282618880,5432.617,1780071000,222508875
55728,55728,55728,2282618880,5416.016,1774505000,221813125
55728,55728,55728,2282618880,5403.32,1770648000,221331000
53664,53664,53664,2198077440,5413.086,1773818500,221727312.5
55728,55728,55728,2282618880,5454.102,1787780500,223472562.5
