Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
89410416,89410416,89410416,3662250639360,8953660.156,2933937695500,366742211937.5
87740640,87740640,87740640,3593856614400,8132084.961,2664727390500,333090923812.5
90081216,90081216,90081216,3689726607360,8591544.922,2815279179500,351909897437.5
89697312,89697312,89697312,3674001899520,9303466.797,3048542033000,381067754125
90706608,90706608,90706608,3715342663680,9164824.219,3003132183500,375391522937.5
91556976,91556976,91556976,3750173736960,9162542.969,3002384261000,375298032625
91796400,91796400,91796400,3759980544000,9159515.625,3001394286000,375174285750
91148304,91148304,91148304,3733434531840,9156394.531,3000374328500,375046791062.5
90456864,90456864,90456864,3705113149440,9188902.344,3011003812000,376375476500
90646752,90646752,90646752,3712890961920,9273790.039,3038842851000,379855356375
88306176,88306176,88306176,3617020968960,8845389.648,2898461011500,362307626437.5
87137952,87137952,87137952,3569170513920,8927209.961,2925249439500,365656179937.5
91026528,91026528,91026528,3728446586880,9146272.461,2997054968000,374631871000
91414560,91414560,91414560,3744340377600,9148330.078,2997707048500,374713381062.5
90861408,90861408,90861408,3721683271680,9185327.148,3009854247500,376231780937.5
90570384,90570384,90570384,3709762928640,8948122.07,2932123374500,366515421812.5
89579664,89579664,89579664,3669183037440,9144456.055,2996458987500,374557373437.5
89550768,89550768,89550768,3667999457280,9012544.922,2953237560000,369154695000
91748928,91748928,91748928,3758036090880,9161491.211,3002018449000,375252306125
91362960,91362960,91362960,3742226841600,9297012.695,3046429028000,380803628500
90089472,90089472,90089472,3690064773120,9181898.4375,3008728087000,376091010875
90665328,90665328,90665328,3713651834880,9146682.617,2997189087000,374648635875
89895456,89895456,89895456,3682117877760,8591397.461,2815233333500,351904166687.5
90710736,90710736,90710736,3715511746560,9182318.359,3008863575500,376107946937.5
91581744,91581744,91581744,3751188234240,9152450.195,2999077378500,374884672312.5
87563136,87563136,87563136,3586586050560,8800671.875,2883785920500,360473240062.5
89127648,89127648,89127648,3650668462080,8954257.8125,2934135396500,366766924562.5
89406288,89406288,89406288,3662081556480,9145677.734,2996859556500,374607444562.5
90139008,90139008,90139008,3692093767680,8997841.797,2948414201500,368551775187.5
91492992,91492992,91492992,3747552952320,9119806.641,2988364022500,373545502812.5
91720032,91720032,91720032,3756852510720,9161428.711,3002023488500,375252936062.5
89313408,89313408,89313408,3658277191680,9122858.398,2989363065000,373670383125
89827344,89827344,89827344,3679328010240,8501375.977,2785735385000,348216923125
91466160,91466160,91466160,3746453913600,9303468.75,3048563826500,381070478312.5
91148304,91148304,91148304,3733434531840,9139212.891,2994743090000,374342886250
91746864,91746864,91746864,3757951549440,9185213.867,3009815332000,376226916500
90861408,90861408,90861408,3721683271680,9106778.32,2984114196500,373014274562.5
90655008,90655008,90655008,3713229127680,9154044.922,2999600632500,374950079062.5
91839744,91839744,91839744,3761755914240,9308942.383,3050358542000,381294817750
91400112,91400112,91400112,3743748587520,9160450.195,3001679096000,375209887000
87909888,87909888,87909888,3600789012480,8831622.07,2893948431000,361743553875
91104960,91104960,91104960,3731659161600,9251644.531,3031581797000,378947724625
91030656,91030656,91030656,3728615669760,9282368.164,3041649906500,380206238312.5
89067792,89067792,89067792,3648216760320,9144338.867,2996422536500,374552817062.5
88925376,88925376,88925376,3642383400960,8892324.219,2913841806000,364230225750
91098768,91098768,91098768,3731405537280,9158904.297,3001195570500,375149446312.5
91837680,91837680,91837680,3761671372800,9127011.719,2990741943000,373842742875
91292784,91292784,91292784,3739352432640,9154876.953,2999873962000,374984245250
88923312,88923312,88923312,3642298859520,8495604.492,2778238873500,347279859187.5
91166880,91166880,91166880,3734195404800,9022180.664,2956390441500,369548805187.5
91358832,91358832,91358832,3742057758720,9137835.9375,2994269576000,374283697000
91123536,91123536,91123536,3732420034560,9148403.32,2997753493000,374719186625
89947056,89947056,89947056,3684231413760,8579080.078,2811173149000,351396643625
91026528,91026528,91026528,3728446586880,9161844.727,3002156780500,375269597562.5
91839744,91839744,91839744,3761755914240,9270722.656,3037833969000,379729246125
90213312,90213312,90213312,3695137259520,9013630.859,2953589361500,369198670187.5
89957376,89957376,89957376,3684654120960,8584581.055,2812998515000,351624814375
91311360,91311360,91311360,3740113305600,9156160.156,3000294780000,375036847500
91212288,91212288,91212288,3736055316480,9160208.008,3001620572500,375202571562.5
90661200,90661200,90661200,3713482752000,9314344.727,3052128481000,381516060125
91573488,91573488,91573488,3750850068480,9269584.961,3037461586500,379682698312.5
89916096,89916096,89916096,3682963292160,9047601.5625,2964723770500,370590471312.5
90768528,90768528,90768528,3717878906880,9158173.828,3000955002000,375119375250
88392864,88392864,88392864,3620571709440,9071478.516,2972524869000,371565608625
91484736,91484736,91484736,3747214786560,9154937.5,2999894749500,374986843687.5
91367088,91367088,91367088,3742395924480,9155192.383,2999958029000,374994753625
89825280,89825280,89825280,3679243468800,9051775.391,2966090283500,370761285437.5
91298976,91298976,91298976,3739606056960,9104385.742,2983329824000,372916228000
91214352,91214352,91214352,3736139857920,9235632.8125,3026336746500,378292093312.5
91623024,91623024,91623024,3752879063040,9144047.852,2996302855000,374537856875
90207120,90207120,90207120,3694883635200,9160043.945,3001564111500,375195513937.5
91317552,91317552,91317552,3740366929920,9142083.008,2995679723000,374459965375
88937760,88937760,88937760,3642890649600,8988956.055,2945503594500,368187949312.5
91662240,91662240,91662240,3754485350400,9156411.133,3000376899000,375047112375
91728288,91728288,91728288,3757190676480,9161025.391,3001887269000,375235908625
91499184,91499184,91499184,3747806576640,9277808.594,3040154557500,380019319687.5
89503296,89503296,89503296,3666055004160,8964483.398,2937483959500,367185494937.5
91763376,91763376,91763376,3758627880960,9158891.602,3001192359000,375149044875
90716928,90716928,90716928,3715765370880,9304935.547,3049023631000,381127953875
91817040,91817040,91817040,3760825958400,9153556.641,2999443590500,374930448812.5
91408368,91408368,91408368,3744086753280,8579406.25,2811303469500,351412933687.5
88432080,88432080,88432080,3622177996800,8854272.461,2901371990500,362671498812.5
91395984,91395984,91395984,3743579504640,9109880.859,2985130340000,373141292500
90248400,90248400,90248400,3696574464000,8996590.82,2947985146500,368498143312.5
89658096,89658096,89658096,3672395612160,8988940.43,2945497826500,368187228312.5
91707648,91707648,91707648,3756345262080,9301984.375,3048080004500,381010000562.5
91753056,91753056,91753056,3758205173760,9290991.211,3044477020000,380559627500
91247376,91247376,91247376,3737492520960,9167210.9375,3003914065000,375489258125
89784000,89784000,89784000,3677552640000,9291745.117,3044721247000,380590155875
87166848,87166848,87166848,3570354094080,8070213.867,2644451092500,330556386562.5
91457904,91457904,91457904,3746115747840,9156500,3000388344000,375048543000
91515696,91515696,91515696,3748482908160,9126992.1875,2990736390000,373842048750
91030656,91030656,91030656,3728615669760,9244445.3125,3029221791500,378652723937.5
90465120,90465120,90465120,3705451315200,9144333.008,2996419269500,374552408687.5
91226736,91226736,91226736,3736647106560,9219136.719,3020930649000,377616331125
91286592,91286592,91286592,3739098808320,9197777.344,3013932562000,376741570250
90504336,90504336,90504336,3707057602560,8552714.844,2802555726500,350319465812.5
