Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
45408,45408,45408,1859911680,4067.383,1332628000,166578500
43344,43344,43344,1775370240,4396.484,1440691000,180086375
43344,43344,43344,1775370240,4035.156,1322322000,165290250
45408,45408,45408,1859911680,4365.234,1430126500,178765812.5
43344,43344,43344,1775370240,4039.0625,1323285000,165410625
45408,45408,45408,1859911680,4381.836,1435040000,179380000
43344,43344,43344,1775370240,4077.148,1335999500,166999937.5
45408,45408,45408,1859911680,4338.867,1422080500,177760062.5
45408,45408,45408,1859911680,4401.367,1442888500,180361062.5
45408,45408,45408,1859911680,4363.281,1429342000,178667750
