Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
84409344,84409344,84409344,3457406730240,8476396.484,2777548940000,347193617500
81585792,81585792,81585792,3341754040320,8066773.4375,2643324120500,330415515062.5
82153392,82153392,82153392,3365002936320,7455606.445,2443033856500,305379232062.5
85373232,85373232,85373232,3496887582720,8522058.594,2792512728000,349064091000
84640512,84640512,84640512,3466875371520,8472334.961,2776220132000,347027516500
84772608,84772608,84772608,3472286023680,8505569.336,2787107977000,348388497125
82163712,82163712,82163712,3365425643520,7951477.539,2605543851000,325692981375
84840720,84840720,84840720,3475075891200,8514619.141,2790075845500,348759480687.5
88000704,88000704,88000704,3604508835840,8775016.602,2875403585500,359425448187.5
82751952,82751952,82751952,3389519953920,8309012.695,2722681787500,340335223437.5
