Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
41280,41280,41280,1690828800,4090.82,1340075000,167509375
43344,43344,43344,1775370240,3870.117,1267945500,158493187.5
41280,41280,41280,1690828800,4150.391,1359468000,169933500
41280,41280,41280,1690828800,4100.586,1343367500,167920937.5
41280,41280,41280,1690828800,4059.57,1330205000,166275625
43344,43344,43344,1775370240,4108.398,1346181500,168272687.5
43344,43344,43344,1775370240,4115.234,1348349500,168543687.5
43344,43344,43344,1775370240,4212.891,1380601000,172575125
41280,41280,41280,1690828800,4073.242,1334286500,166785812.5
41280,41280,41280,1690828800,4127.93,1352786500,169098312.5
