Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
431376,431376,431376,17669160960,42652.344,13976356000,1747044500
425184,425184,425184,17415536640,42768.555,14014731500,1751841437.5
437568,437568,437568,17922785280,44594.727,14612828000,1826603500
406608,406608,406608,16654663680,42814.453,14029071500,1753633937.5
449952,449952,449952,18430033920,45085.9375,14773786000,1846723250
429312,429312,429312,17584619520,42556.641,13944547000,1743068375
423120,423120,423120,17330995200,37655.273,12338296000,1542287000
427248,427248,427248,17500078080,42935.547,14068983500,1758622937.5
449952,449952,449952,18430033920,45155.273,14796541500,1849567687.5
429312,429312,429312,17584619520,43011.719,14093781500,1761722687.5
