Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
418992,418992,418992,17161912320,39801.758,13042324000,1630290500
390096,390096,390096,15978332160,33229.492,10888872000,1361109000
404544,404544,404544,16570122240,42586.914,13954663500,1744332937.5
410736,410736,410736,16823746560,42042.969,13776261000,1722032625
357072,357072,357072,14625669120,33191.406,10876018000,1359502250
375648,375648,375648,15386542080,34950.195,11452989500,1431623687.5
346752,346752,346752,14202961920,33098.633,10845503500,1355687937.5
416928,416928,416928,17077370880,43080.078,14116648000,1764581000
392160,392160,392160,16062873600,33236.328,10891305500,1361413187.5
342624,342624,342624,14033879040,33256.836,10897789000,1362223625
