Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
51600,51600,51600,2113536000,5061.523,1658160500,207270062.5
47472,47472,47472,1944453120,4142.578,1357130000,169641250
49536,49536,49536,2028994560,5074.219,1662344000,207793000
49536,49536,49536,2028994560,5042.969,1653171500,206646437.5
51600,51600,51600,2113536000,5065.43,1659431000,207428875
51600,51600,51600,2113536000,5055.664,1656873500,207109187.5
49536,49536,49536,2028994560,4112.305,1347388500,168423562.5
51600,51600,51600,2113536000,4995.117,1636759000,204594875
49536,49536,49536,2028994560,5071.289,1661449500,207681187.5
51600,51600,51600,2113536000,5042.969,1652574000,206571750
