Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
90215376,90215376,90215376,3695221800960,8591014.648,2815086232500,351885779062.5
90553872,90553872,90553872,3709086597120,8592408.203,2815544835500,351943104437.5
90818064,90818064,90818064,3719907901440,9297566.406,3046629653500,380828706687.5
89088432,89088432,89088432,3649062174720,9184064.453,3009437065500,376179633187.5
91482672,91482672,91482672,3747130245120,9150122.07,2998298004000,374787250500
88582752,88582752,88582752,3628349521920,9058678.711,2968351397500,371043924687.5
91505376,91505376,91505376,3748060200960,9131594.727,2992244175000,374030521875
88504320,88504320,88504320,3625136947200,9164463.867,3003015027500,375376878437.5
91641600,91641600,91641600,3753639936000,9155073.242,2999935320500,374991915062.5
89610624,89610624,89610624,3670451159040,8590526.367,2814950740500,351868842562.5
86859312,86859312,86859312,3557757419520,8404693.359,2754036010500,344254501312.5
90539424,90539424,90539424,3708494807040,9135663.086,2993576971000,374197121375
90558000,90558000,90558000,3709255680000,9165583.984,3003364040500,375420505062.5
90136944,90136944,90136944,3692009226240,9142375,2995776925500,374472115687.5
89598240,89598240,89598240,3669943910400,9138505.859,2994489226000,374311153250
91268016,91268016,91268016,3738337935360,9169806.641,3004764284000,375595535500
89542512,89542512,89542512,3667661291520,8579682.617,2811373027000,351421628375
88551792,88551792,88551792,3627081400320,8967394.531,2938440737000,367305092125
89290704,89290704,89290704,3657347235840,8571111.328,2808562682500,351070335312.5
91294848,91294848,91294848,3739436974080,9201950.195,3015298431500,376912303937.5
90795360,90795360,90795360,3718977945600,9108692.383,2984738748000,373092343500
89984208,89984208,89984208,3685753159680,8568042.969,2807559324000,350944915500
89571408,89571408,89571408,3668844871680,8588762.695,2814367584500,351795948062.5
89220528,89220528,89220528,3654472826880,9148047.852,2997635224000,374704403000
88636416,88636416,88636416,3630547599360,8585909.18,2813435752000,351679469000
91189584,91189584,91189584,3735125360640,9181566.406,3008621191500,376077648937.5
89519808,89519808,89519808,3666731335680,9225037.109,3022864011500,377858001437.5
91503312,91503312,91503312,3747975659520,9121833.984,2989025906000,373628238250
88776768,88776768,88776768,3636296417280,8434634.766,2763867010500,345483376312.5
85521840,85521840,85521840,3502974566400,8717630.859,2856597436500,357074679562.5
90900624,90900624,90900624,3723289559040,9119429.6875,2988258339000,373532292375
89717952,89717952,89717952,3674847313920,8463596.68,2773354318000,346669289750
88549728,88549728,88549728,3626996858880,8832824.219,2894343732000,361792966500
86143104,86143104,86143104,3528421539840,8383036.133,2746935879000,343366984875
81977952,81977952,81977952,3357816913920,8287011.719,2715471780500,339433972562.5
90968736,90968736,90968736,3726079426560,8546901.367,2800650752000,350081344000
91810848,91810848,91810848,3760572334080,9158122.07,3000936411000,375117051375
91596192,91596192,91596192,3751780024320,9147922.852,2997596000000,374699500000
91653984,91653984,91653984,3754147184640,9072296.875,2972816651500,371602081437.5
91802592,91802592,91802592,3760234168320,9163591.797,3002727805000,375340975625
91424880,91424880,91424880,3744763084800,9281257.8125,3041286117500,380160764687.5
89511552,89511552,89511552,3666393169920,8948399.414,2932212725500,366526590687.5
89959440,89959440,89959440,3684738662400,8985100.586,2944242156000,368030269500
89230848,89230848,89230848,3654895534080,8956346.68,2934818938500,366852367312.5
91695264,91695264,91695264,3755838013440,9122015.625,2989104102500,373638012812.5
91501248,91501248,91501248,3747891118080,9139181.641,2994733149000,374341643625
91429008,91429008,91429008,3744932167680,9130278.32,2991812107000,373976513375
91674624,91674624,91674624,3754992599040,9146613.281,2997166221500,374645777687.5
91750992,91750992,91750992,3758120632320,9157762.695,3000819470500,375102433812.5
91398048,91398048,91398048,3743664046080,9100773.4375,2982146606500,372768325812.5
91866576,91866576,91866576,3762854952960,9171894.531,3005450071500,375681258937.5
91971840,91971840,91971840,3767166566400,9152257.8125,2999016417000,374877052125
91647792,91647792,91647792,3753893560320,9153875.977,2999544680500,374943085062.5
91457904,91457904,91457904,3746115747840,9012298.828,2953153294000,369144161750
91546656,91546656,91546656,3749751029760,9146192.383,2997025976000,374628247000
88436208,88436208,88436208,3622347079680,8822685.547,2891000888500,361375111062.5
91901664,91901664,91901664,3764292157440,9292789.0625,3045064965000,380633120625
91614768,91614768,91614768,3752540897280,9134002.93,2993033100500,374129137562.5
91567296,91567296,91567296,3750596444160,9159340.82,3001336623000,375167077875
91765440,91765440,91765440,3758712422400,9154861.328,2999867212500,374983401562.5
88545600,88545600,88545600,3626827776000,8848861.328,2899597840000,362449730000
