Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
45408,45408,45408,1859911680,4398.4375,1440820000,180102500
43344,43344,43344,1775370240,4367.1875,1430577500,178822187.5
43344,43344,43344,1775370240,4358.398,1427668000,178458500
43344,43344,43344,1775370240,4103.516,1344446500,168055812.5
45408,45408,45408,1859911680,4356.445,1427132000,178391500
45408,45408,45408,1859911680,4350.586,1425743500,178217937.5
45408,45408,45408,1859911680,4385.742,1436774500,179596812.5
43344,43344,43344,1775370240,4054.6875,1328258500,166032312.5
43344,43344,43344,1775370240,4375.977,1433798000,179224750
45408,45408,45408,1859911680,4389.648,1438277500,179784687.5
43344,43344,43344,1775370240,4097.656,1342182000,167772750
45408,45408,45408,1859911680,4344.727,1424358500,178044812.5
43344,43344,43344,1775370240,4401.367,1442519500,180314937.5
43344,43344,43344,1775370240,4329.102,1418185000,177273125
45408,45408,45408,1859911680,4374.023,1433253500,179156687.5
45408,45408,45408,1859911680,4398.4375,1440349500,180043687.5
45408,45408,45408,1859911680,4358.398,1427721500,178465187.5
43344,43344,43344,1775370240,4383.789,1437142500,179642812.5
45408,45408,45408,1859911680,4389.648,1437852500,179731562.5
45408,45408,45408,1859911680,4398.4375,1441242500,180155312.5
45408,45408,45408,1859911680,4374.023,1432751000,179093875
45408,45408,45408,1859911680,4392.578,1439454500,179931812.5
45408,45408,45408,1859911680,4334.961,1420126500,177515812.5
43344,43344,43344,1775370240,4352.539,1426864500,178358062.5
45408,45408,45408,1859911680,4368.164,1431872000,178984000
43344,43344,43344,1775370240,4062.5,1331173500,166396687.5
45408,45408,45408,1859911680,4398.4375,1440717500,180089687.5
45408,45408,45408,1859911680,4401.367,1442555500,180319437.5
45408,45408,45408,1859911680,4352.539,1426591000,178323875
43344,43344,43344,1775370240,4350.586,1425269000,178158625
45408,45408,45408,1859911680,4377.93,1434490500,179311312.5
45408,45408,45408,1859911680,4051.758,1327366000,165920750
43344,43344,43344,1775370240,4385.742,1437806500,179725812.5
45408,45408,45408,1859911680,4399.414,1441291000,180161375
43344,43344,43344,1775370240,4387.695,1437831500,179728937.5
45408,45408,45408,1859911680,4391.602,1437931000,179741375
45408,45408,45408,1859911680,4385.742,1436835500,179604437.5
43344,43344,43344,1775370240,4377.93,1434626000,179328250
45408,45408,45408,1859911680,4367.1875,1430499000,178812375
45408,45408,45408,1859911680,4367.1875,1430860000,178857500
43344,43344,43344,1775370240,4064.453,1331438500,166429812.5
43344,43344,43344,1775370240,4368.164,1431970000,178996250
43344,43344,43344,1775370240,4041.992,1324074500,165509312.5
45408,45408,45408,1859911680,4374.023,1432038500,179004812.5
45408,45408,45408,1859911680,4399.414,1441560000,180195000
45408,45408,45408,1859911680,4409.18,1444339500,180542437.5
43344,43344,43344,1775370240,4358.398,1427314500,178414312.5
45408,45408,45408,1859911680,4375.977,1434265500,179283187.5
43344,43344,43344,1775370240,4389.648,1438186000,179773250
45408,45408,45408,1859911680,4361.328,1429222500,178652812.5
