Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
115584,115584,115584,4734320640,9774.414,3202889500,400361187.5
119712,119712,119712,4903403520,12271.484,4021209500,502651187.5
121776,121776,121776,4987944960,9948.242,3259661500,407457687.5
115584,115584,115584,4734320640,12282.227,4024323500,503040437.5
119712,119712,119712,4903403520,12266.602,4019524000,502440500
117648,117648,117648,4818862080,9952.148,3261016000,407627000
121776,121776,121776,4987944960,12298.828,4029561000,503695125
119712,119712,119712,4903403520,9868.164,3233670500,404208812.5
115584,115584,115584,4734320640,12274.414,4021948000,502743500
121776,121776,121776,4987944960,12325.195,4038627000,504828375
115584,115584,115584,4734320640,12272.461,4021249500,502656187.5
121776,121776,121776,4987944960,12270.508,4020413500,502551687.5
119712,119712,119712,4903403520,12299.805,4030155500,503769437.5
121776,121776,121776,4987944960,12299.805,4029568500,503696062.5
115584,115584,115584,4734320640,12286.133,4025944000,503243000
121776,121776,121776,4987944960,12261.719,4017863500,502232937.5
117648,117648,117648,4818862080,10614.258,3477918500,434739812.5
113520,113520,113520,4649779200,9840.82,3224809500,403101187.5
123840,123840,123840,5072486400,12280.273,4023663000,502957875
113520,113520,113520,4649779200,12067.383,3954576000,494322000
119712,119712,119712,4903403520,10454.102,3425109500,428138687.5
121776,121776,121776,4987944960,12279.297,4023181000,502897625
123840,123840,123840,5072486400,12314.453,4034727500,504340937.5
123840,123840,123840,5072486400,12305.664,4032206500,504025812.5
119712,119712,119712,4903403520,12237.305,4009372000,501171500
119712,119712,119712,4903403520,9905.273,3245876500,405734562.5
121776,121776,121776,4987944960,12136.719,3976669000,497083625
121776,121776,121776,4987944960,9950.195,3260437500,407554687.5
123840,123840,123840,5072486400,12298.828,4029460500,503682562.5
121776,121776,121776,4987944960,12294.922,4028619000,503577375
115584,115584,115584,4734320640,9901.367,3244366500,405545812.5
115584,115584,115584,4734320640,12294.922,4028652500,503581562.5
119712,119712,119712,4903403520,12295.898,4028827500,503603437.5
119712,119712,119712,4903403520,12252.93,4014830000,501853750
115584,115584,115584,4734320640,12272.461,4021661500,502707687.5
123840,123840,123840,5072486400,12297.852,4029566500,503695812.5
121776,121776,121776,4987944960,12213.867,4002061000,500257625
123840,123840,123840,5072486400,12080.078,3957774000,494721750
119712,119712,119712,4903403520,12271.484,4020801000,502600125
121776,121776,121776,4987944960,12271.484,4021001000,502625125
119712,119712,119712,4903403520,12318.359,4036269000,504533625
123840,123840,123840,5072486400,12277.344,4023843500,502980437.5
113520,113520,113520,4649779200,12328.125,4039742500,504967812.5
123840,123840,123840,5072486400,12284.18,4024613000,503076625
121776,121776,121776,4987944960,12281.25,4023221500,502902687.5
123840,123840,123840,5072486400,12304.6875,4031956500,503994562.5
113520,113520,113520,4649779200,12271.484,4020801500,502600187.5
111456,111456,111456,4565237760,9913.086,3248401000,406050125
111456,111456,111456,4565237760,12066.406,3953374000,494171750
111456,111456,111456,4565237760,9903.32,3244836000,405604500
119712,119712,119712,4903403520,9890.625,3241138500,405142312.5
123840,123840,123840,5072486400,12286.133,4026090500,503261312.5
123840,123840,123840,5072486400,12150.391,3980940500,497617562.5
115584,115584,115584,4734320640,12265.625,4018809000,502351125
123840,123840,123840,5072486400,12249.023,4013477000,501684625
119712,119712,119712,4903403520,12271.484,4021000000,502625000
123840,123840,123840,5072486400,12268.555,4019361000,502420125
115584,115584,115584,4734320640,12172.852,3988733000,498591625
119712,119712,119712,4903403520,12242.1875,4012070500,501508812.5
123840,123840,123840,5072486400,11958.008,3918052500,489756562.5
123840,123840,123840,5072486400,12268.555,4019819500,502477437.5
121776,121776,121776,4987944960,12267.578,4019050500,502381312.5
113520,113520,113520,4649779200,9645.508,3160546500,395068312.5
119712,119712,119712,4903403520,12314.453,4035143500,504392937.5
123840,123840,123840,5072486400,12280.273,4023346500,502918312.5
119712,119712,119712,4903403520,12305.664,4032301000,504037625
121776,121776,121776,4987944960,12041.992,3945643500,493205437.5
123840,123840,123840,5072486400,12296.875,4028950000,503618750
113520,113520,113520,4649779200,9929.6875,3253605000,406700625
121776,121776,121776,4987944960,12294.922,4028491500,503561437.5
117648,117648,117648,4818862080,12207.031,3999693500,499961687.5
119712,119712,119712,4903403520,12195.3125,3995977500,499497187.5
115584,115584,115584,4734320640,12331.055,4040349500,505043687.5
123840,123840,123840,5072486400,12275.391,4022410000,502801250
121776,121776,121776,4987944960,12195.3125,3995721500,499465187.5
121776,121776,121776,4987944960,12254.883,4015782500,501972812.5
119712,119712,119712,4903403520,12314.453,4035196500,504399562.5
123840,123840,123840,5072486400,12135.742,3976012500,497001562.5
121776,121776,121776,4987944960,12277.344,4022855500,502856937.5
123840,123840,123840,5072486400,12243.164,4012067000,501508375
123840,123840,123840,5072486400,12298.828,4029860000,503732500
123840,123840,123840,5072486400,12258.789,4016835000,502104375
121776,121776,121776,4987944960,9946.289,3259092000,407386500
121776,121776,121776,4987944960,12224.609,4005549500,500693687.5
113520,113520,113520,4649779200,9946.289,3258915500,407364437.5
115584,115584,115584,4734320640,12236.328,4008938000,501117250
117648,117648,117648,4818862080,12270.508,4020764500,502595562.5
121776,121776,121776,4987944960,12268.555,4019922500,502490312.5
115584,115584,115584,4734320640,9743.164,3191573500,398946687.5
121776,121776,121776,4987944960,12324.219,4038092500,504761562.5
123840,123840,123840,5072486400,12309.57,4033205500,504150687.5
115584,115584,115584,4734320640,11707.031,3835620000,479452500
