Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
83059488,83059488,83059488,3402116628480,7757877.93,2542108574000,317763571750
85309248,85309248,85309248,3494266798080,8462015.625,2772835928500,346604491062.5
84871680,84871680,84871680,3476344012800,8622120.117,2825298033500,353162254187.5
85224624,85224624,85224624,3490800599040,8364312.5,2740820812000,342602601500
86351568,86351568,86351568,3536960225280,8782993.164,2877996907500,359749613437.5
88811856,88811856,88811856,3637733621760,8890524.414,2913249297000,364156162125
85445472,85445472,85445472,3499846533120,8539868.164,2798352065500,349794008187.5
84345360,84345360,84345360,3454785945600,8311798.828,2723611819000,340451477375
84840720,84840720,84840720,3475075891200,8116126.953,2659495691500,332436961437.5
85410384,85410384,85410384,3498409328640,8682673.828,2845142378000,355642797250
