MB,Bandwidth (MBits/s)
26.9,22.4
26.9,22.4
27.2,22.6
26.5,22.1
27.5,23.0
27.6,23.0
27.2,22.7
26.8,22.4
27.5,22.8
28.0,23.3
26.2,21.9
26.8,22.3
26.9,22.4
28.0,23.3
28.0,23.3
27.5,22.9
27.1,22.6
26.9,22.4
27.8,23.1
27.8,23.1
