MB,Bandwidth (MBits/s)
20.2,16.8
23.6,19.73
20.1,16.7
19.6,16.3
27.4,23.4
29.4,24.5
29.6,24.7
29.5,24.6
29.0,24.2
27.5,22.9
19.5,16.2
21.1,17.5
19.8,16.5
20.5,17.0
19.5,16.2
21.0,17.5
20.8,17.2
21.2,17.6
20.9,17.3
22.5,18.7
